post_id,title,url,valid_dcv5,fallback,fallback_dcv5_view,hero,quick_strip,work_summary,sidecard,bad_fish_text,bad_cheese_text,bad_qmarks,bad_internal,result
2094,"Pitomački ""Divlji Kulen""",https://drycured.com/recepti-baza/pitomacki-divlji-kulen/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2096,"SLĂNINĂ AFUMATĂ (Dimljena slanina)",https://drycured.com/recepti-baza/slanina-afumata-dimljena-slanina/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2097,"CHIȘCĂ (Puhana želuca s krvlju)",https://drycured.com/recepti-baza/chisca-puhana-zeluca-s-krvlju/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2100,"Miholjačka Začinska Salama",https://drycured.com/recepti-baza/miholjacka-zacinska-salama/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2101,"Vinkovački Slavonski Kulen - Stara obiteljska receptura",https://drycured.com/recepti-baza/vinkovacki-slavonski-kulen-stara-obiteljska-receptura/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2102,"Slovačka slanina (Slovenská slanina)",https://drycured.com/recepti-baza/slovacka-slanina-slovenska-slanina/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2103,"Kranjska klobasa (Kranjska kobasica)",https://drycured.com/recepti-baza/kranjska-klobasa-kranjska-kobasica/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2104,"Kraški pršut",https://drycured.com/recepti-baza/kraski-prsut/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2106,"Gorenjska zaseka",https://drycured.com/recepti-baza/gorenjska-zaseka/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2107,"Vipavska panceta",https://drycured.com/recepti-baza/vipavska-panceta/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2108,"Tolminska salama",https://drycured.com/recepti-baza/tolminska-salama/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2110,"Crnogorska Slanina (Durmitorska panćeta)",https://drycured.com/recepti-baza/crnogorska-slanina-durmitorska-panceta/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2111,"LANDJÄGER (TRADICIONALNE DIMLJENE KOBASICE)",https://drycured.com/recepti-baza/landjager-tradicionalne-dimljene-kobasice/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2113,"VACHERIN FRIBOURGEOIS METTWURST (DIMLJENA KOBASICA S ALPSKIM SIROM)",https://drycured.com/recepti-baza/vacherin-fribourgeois-mettwurst-dimljena-kobasica-s-alpskim-sirom/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2115,"BRESAOLA DELLA VALTELLINA",https://drycured.com/recepti-baza/bresaola-della-valtellina/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2116,"COPPA PIACENTINA",https://drycured.com/recepti-baza/coppa-piacentina/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2353,"Pastërma (Albansko suho meso)",https://drycured.com/recepti-baza/pasterma-albansko-suho-meso/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2355,"Proshuta Shqiptare – albanska pršuta",https://drycured.com/recepti-baza/proshuta-shqiptare-albanska-prsuta/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2359,"Vorarlberger Mostbröckle – vorarlberška dimljena govedina",https://drycured.com/recepti-baza/vorarlberger-mostbrockle-vorarlberska-dimljena-govedina/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2398,"Traditionele Droge Worst (Klasična suha kobasica)",https://drycured.com/recepti-baza/traditionele-droge-worst-klasicna-suha-kobasica/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2399,"Rookworst (Dimljena kobasica)",https://drycured.com/recepti-baza/rookworst-dimljena-kobasica/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2428,"Durmitorska kastradina",https://drycured.com/recepti-baza/durmitorska-kastradina/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
