source	slug	source_bytes	web_bytes	thumb_bytes	source_dimensions	web_dimensions	thumb_dimensions	web	thumb
"ChatGPT Image 18. svi 2026. 21_58_11.png"	chatgpt-image-18-svi-2026-21-58-11	2088565	245952	37682	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-18-svi-2026-21-58-11.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-18-svi-2026-21-58-11.webp
"ChatGPT Image 19. svi 2026. 16_01_32.png"	chatgpt-image-19-svi-2026-16-01-32	2472286	254910	42380	1448x1086	1448x1086	520x390	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-16-01-32.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-16-01-32.webp
"ChatGPT Image 20. svi 2026. 17_22_34.png"	chatgpt-image-20-svi-2026-17-22-34	2005131	217672	38860	1402x1122	1402x1122	520x416	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-20-svi-2026-17-22-34.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-20-svi-2026-17-22-34.webp
"ChatGPT Image 18. svi 2026. 22_05_04.png"	chatgpt-image-18-svi-2026-22-05-04	2121954	257546	37912	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-18-svi-2026-22-05-04.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-18-svi-2026-22-05-04.webp
"ChatGPT Image 19. svi 2026. 20_34_21.png"	chatgpt-image-19-svi-2026-20-34-21	2184984	256570	39786	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-20-34-21.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-20-34-21.webp
"ChatGPT Image 20. svi 2026. 16_40_54.png"	chatgpt-image-20-svi-2026-16-40-54	2399666	209652	32094	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-20-svi-2026-16-40-54.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-20-svi-2026-16-40-54.webp
"ChatGPT Image 19. svi 2026. 19_57_49.png"	chatgpt-image-19-svi-2026-19-57-49	2109404	241400	36962	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-19-57-49.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-19-57-49.webp
"ChatGPT Image 18. svi 2026. 21_35_21.png"	chatgpt-image-18-svi-2026-21-35-21	2199341	259018	39994	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-18-svi-2026-21-35-21.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-18-svi-2026-21-35-21.webp
"ChatGPT Image 18. svi 2026. 21_06_46.png"	chatgpt-image-18-svi-2026-21-06-46	2180737	248312	38710	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-18-svi-2026-21-06-46.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-18-svi-2026-21-06-46.webp
"ChatGPT Image 20. svi 2026. 16_39_52.png"	chatgpt-image-20-svi-2026-16-39-52	2206434	202648	34012	1448x1086	1448x1086	520x390	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-20-svi-2026-16-39-52.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-20-svi-2026-16-39-52.webp
