ID,post_title,post_name,url,http_code,html_forbidden_count,html_forbidden_terms,has_granulation_mm_html,has_casing_html,has_garlic_html
2554,Kindziukas (litavska dimljena šunka),kindziukas-litavska-dimljena-sunka,https://drycured.com/recepti-baza/kindziukas-litavska-dimljena-sunka/,200,63,hladna masa; fallback; radni recept,1,1,1
2555,Lašiniai (litavska slanina),lasiniai-litavska-slanina,https://drycured.com/recepti-baza/lasiniai-litavska-slanina/,200,63,hladna masa; fallback; radni recept,1,1,1
2556,Vytinta dešra (litavska suha kobasica),vytinta-desra-litavska-suha-kobasica,https://drycured.com/recepti-baza/vytinta-desra-litavska-suha-kobasica/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2557,Rūkyti lašišos (dimljen losos na litavski način),rukyti-lasisos-dimljen-losos-na-litavski-nacin,https://drycured.com/recepti-baza/rukyti-lasisos-dimljen-losos-na-litavski-nacin/,200,63,hladna masa; fallback; radni recept,1,1,1
2558,Pounje Planinski Vrtlog,pounje-planinski-vrtlog,https://drycured.com/recepti-baza/pounje-planinski-vrtlog/,200,63,hladna masa; fallback; radni recept,1,1,1
2560,Drežnički Šušanj,dreznicki-susanj,https://drycured.com/recepti-baza/dreznicki-susanj/,200,63,hladna masa; fallback; radni recept,1,1,1
2561,Gospićki Vjetar,gospicki-vjetar,https://drycured.com/recepti-baza/gospicki-vjetar/,200,63,hladna masa; fallback; radni recept,1,1,1
2563,Maltežanska kobasica (Zalzett Malti),maltezanska-kobasica-zalzett-malti,https://drycured.com/recepti-baza/maltezanska-kobasica-zalzett-malti/,200,68,prema receptu; hladna masa; fallback; radni recept,1,1,1
2564,Maltežanski pršut (Prosciutto Malti),maltezanski-prsut-prosciutto-malti,https://drycured.com/recepti-baza/maltezanski-prsut-prosciutto-malti/,200,63,hladna masa; fallback; radni recept,1,1,1
2565,Maltežanska suha govedina (Carne Secca Maltija),maltezanska-suha-govedina-carne-secca-maltija,https://drycured.com/recepti-baza/maltezanska-suha-govedina-carne-secca-maltija/,200,63,hladna masa; fallback; radni recept,1,1,1
2571,Zaprešićki Vrganjevi Narezak,zapresicki-vrganjevi-narezak,https://drycured.com/recepti-baza/zapresicki-vrganjevi-narezak/,200,63,hladna masa; fallback; radni recept,1,1,1
2572,Medžimurski Divljač Narezak,medzimurski-divljac-narezak,https://drycured.com/recepti-baza/medzimurski-divljac-narezak/,200,63,hladna masa; fallback; radni recept,1,1,1
2573,Gornjomurečki Začinski Narezak,gornjomurecki-zacinski-narezak,https://drycured.com/recepti-baza/gornjomurecki-zacinski-narezak/,200,63,hladna masa; fallback; radni recept,1,1,1
2574,ȘUNCĂ AFUMATĂ (DIMLJENA ŠUNKA),sunca-afumata-dimljena-sunka,https://drycured.com/recepti-baza/sunca-afumata-dimljena-sunka/,200,63,hladna masa; fallback; radni recept,1,1,1
2575,PASTRAMĂ DE OAIE (OVČJA PASTRAMA),pastrama-de-oaie-ovcja-pastrama,https://drycured.com/recepti-baza/pastrama-de-oaie-ovcja-pastrama/,200,63,hladna masa; fallback; radni recept,1,1,1
2576,CÂRNAȚ AFUMAT (DIMLJENE KOBASICE),carnat-afumat-dimljene-kobasice,https://drycured.com/recepti-baza/carnat-afumat-dimljene-kobasice/,200,68,prema receptu; hladna masa; fallback; radni recept,1,1,1
2577,Droge Worst (Suha kobasica),droge-worst-suha-kobasica,https://drycured.com/recepti-baza/droge-worst-suha-kobasica/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2579,Spekdikken (Slanina s medom),spekdikken-slanina-s-medom,https://drycured.com/recepti-baza/spekdikken-slanina-s-medom/,200,63,hladna masa; fallback; radni recept,1,1,1
